Date/Time	Patron	ResetArea	TotalTime	RunCount	AreaStarted	AreaStopped	Crashes
08/23/2020 15:49:12	Modron	330	15:23:42	43	103	109	1
08/24/2020 14:34:59	Modron	330	22:39:17	62	123	4	2
08/25/2020 06:49:22	Modron	330	07:49:04	22	231	296	0
08/26/2020 08:05:01	Modron	330	08:56:31	25	298	349	1
08/26/2020 12:58:24	Modron	330	04:46:23	11	52	19	0
08/26/2020 14:40:14	Modron	330	01:41:28	4	28	312	0
08/26/2020 14:45:30	Modron	330	00:05:06	1	312	4	0
08/26/2020 15:06:10	Modron	330	00:18:45	1	31	1	0
08/27/2020 09:47:26	Modron	330	15:00:00	42	14	27	1
08/27/2020 11:02:28	Modron	330	01:03:48	3	47	4	0
